category;food;protein;fats;carbohydrates
Блюда из мяса и мясных продуктов;Рагу из индейки;6,0;7,9;8,9
Блюда из мяса и мясных продуктов;Утка жареная;23,2;34,9;0,1
Блюда из мяса и мясных продуктов;Утка отварная;18,1;34,6;0,0
Блюда из мяса и мясных продуктов;Утка фаршированная картофелем;7,1;10,9;10,5
Блюда из мяса и мясных продуктов;Рагу из утки;6,3;13,5;9,6
Блюда из мяса и мясных продуктов;Пельмени отварные;9,9;13,9;13,5
Блюда из мяса и мясных продуктов;Пельмени жареные;11,0;22,5;14,1
Блюда из мяса и мясных продуктов;Пирожки печеные с мясным фаршем и луком;12,2;5,7;35,5
Блюда из мяса и мясных продуктов;Расстегаи с мясом и луком;12,1;6,4;36,4
Колбасы;Колбаса Говяжья;15,0;11,7;0,2
Колбасы;Колбаса Диабетическая;12,1;22,8;0,0
Колбасы;Колбаса Диетическая;12,1;13,5;0,0
Колбасы;Колбаса Для завтрака;13,0;13,9;2,4
Колбасы;Колбаса Докторская;12,8;22,2;1,5
Колбасы;Колбаса Любительская вареная;12,2;28,0;0,1
Колбасы;Колбаса Молочная;11,7;22,8;0,2
Колбасы;Колбаса Отдельная;11,0;21,0;1,7
Колбасы;Колбаса Русская;11,5;27,9;1,7
Колбасы;Колбаса Свиная;10,8;25,8;0,5
Колбасы;Колбаса Столовая;11,1;20,2;1,8
Колбасы;Колбаса Телячья;13,2;28,3;0,3
Колбасы;Колбаса Чайная;11,7;18,4;1,7
Колбасы;Колбаса Зеленоградская (с мясом утки);17,2;12,1;2,2
Колбасы;Колбаса Подмосковная (с куриным мясом);17,2;11,6;1,7
Колбасы;Бутерброд с колбасой любительской;10,7;18,0;17,8
Колбасы;Сардельки говяжьи;11,4;18,2;1,3
Колбасы;Сардельки 1 сорта;10,3;17,2;1,5
Колбасы;Сардельки свинные;10,1;31,6;1,8
Колбасы;Сосиски говяжьи;10,4;20,1;0,8
Колбасы;Сосиски молочные;11,0;23,9;0,4
Колбасы;Сосиски Русские;11,3;22,0;1,7
Колбасы;Сосиски Столичные;12,2;20,3;0,5
Колбасы;Мясной хлеб ветчинный;12,9;21,8;1,9
Колбасы;Мясной хлеб говяжий;10,5;23,9;1,4
Колбасы;Мясной хлеб Отдельный;12,0;21,0;2,1
Колбасы;Колбаса Любительская варено-копченая;17,2;39,0;0,2
Колбасы;Колбаса Московская;19,1;36,6;0,2
Колбасы;Колбаса Армавирская;15,1;40,1;0,3
Колбасы;Колбаса Одесская;14,8;38,1;0,3
Колбасы;Охотничьи колбаски;25,3;40,0;0,3
Колбасы;Колбаса Таллинская;17,1;33,8;0,2
Колбасы;Колбаса Брауншвейгская;27,7;42,2;0,2
Колбасы;Колбаса Дорожная;17,0;47,7;0,4
Колбасы;Колбаса Зернистая;9,9;62,8;0,3
Колбасы;Колбаса Олимпийская;21,1;39,1;0,4
Колбасы;Колбаса Свинная;13,0;57,0;0,2
Колбасы;Колбаса Сервелат;24,0;40,5;0,2
Колбасы;Грудинка копчено-запеченная;10,0;52,7;0,0
Колбасы;Грудинка сырокопченая;8,9;63,3;0,0
Колбасы;Корейка копчено-запеченная;10,2;48,2;0,0
Колбасы;Корейка сырокопченая;10,5;47,4;0,0
Колбасы;Окорок тамбовский вареный;14,3;25,6;0,0
Рыба и рыбные продукты;Килька балтийская;14,1;9,0;0,0
Рыба и рыбные продукты;Килька балтийская горячего копчения;21,3;8,5;0,0
Рыба и рыбные продукты;Килька балтийская соленая;17,1;7,6;0,0
Блюда из рыбы, морепродуктов и раков;Килька соленая с луком и маслом;10,0;13,8;1,1
Блюда из рыбы, морепродуктов и раков;Килька соленая с картофелем и маслом;11,3;12,2;9,2
Блюда из рыбы, морепродуктов и раков;Бутерброд с килькой и яйцом;11,0;10,6;23,4
Рыба и рыбные продукты;Килька каспийская;18,5;13,1;0,0
Рыба и рыбные продукты;Шпроты в масле. Консервы;17,4;32,4;0,0
Рыба и рыбные продукты;Салака;17,0;6,3;0,0
Рыба и рыбные продукты;Салака горячего копчения;25,4;5,6;0,0
Рыба и рыбные продукты;Сельдь атлантическая жирная;17,7;19,5;0,0
Рыба и рыбные продукты;Сельдь атлантическая нежирная;19,1;6,5;0,0
Рыба и рыбные продукты;Сельдь атлантическая среднесоленая;17,0;8,5;0,0
